model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
dla34.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree1.bn2,0.7398336016091508,0.4549936238539865,0.1198493089554187,0.4359846316683311,0.08496409904623388,0.7720904522643185
dla46_c.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree2.tree2.bn2,0.7398336016091508,0.4565947022443757,0.1261618732569668,0.4375188192606609,0.08943922988534417,0.7720904522643185
dla60.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2,0.7398336016091508,0.4688267112058713,0.1271826732115008,0.44923979213159676,0.09016289987726446,0.7720904522643185
dpn107.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_11.c1x1_a.conv,0.7398336016091508,0.4953218566970569,0.1577071874496958,0.47462800779520886,0.11180247271816332,0.7720904522643185
dpn131.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_18.c1x1_c.bn.drop,0.7398336016091508,0.4966671159509593,0.1740148033513027,0.4759170640139379,0.12336333948283916,0.7720904522643185
dpn68.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_8.c1x1_a.bn.drop,0.7398336016091508,0.5051284562356846,0.1123008767760535,0.48402490142978755,0.07961283131744011,0.7720904522643185
dpn68b.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_6.c1x1_c.bn.drop,0.7398336016091508,0.4905570839845927,0.1608997663309633,0.47006230056961995,0.11406576977548574,0.7720904522643185
dpn92.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_10.c1x1_a,0.7398336016091508,0.5051212304269586,0.1548834936114023,0.4840179775051636,0.10980068726738318,0.7720904522643185
dpn98.mx_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.conv4_13.c1x1_a,0.7398336016091508,0.5105220197935545,0.1381102437150868,0.4891931295056875,0.09790972120392512,0.7720904522643185
efficientformer_l1.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.2,0.7398336016091508,0.4666670917454966,0.136363305949458,0.44717039852779233,0.0966712744023528,0.7720904522643185
efficientformer_l3.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.4,0.7398336016091508,0.4642234716209044,0.1571720372976711,0.4448288694071567,0.11142309171949483,0.7720904522643185
efficientformer_l7.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.10,0.7398336016091508,0.4973791748222408,0.1137812108081361,0.4765993740693893,0.08066227622805,0.7720904522643185
efficientformerv2_l.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.13.mlp.mid.bn.drop,0.7398336016091508,0.4740835881677314,0.1157755526845264,0.45427704418477677,0.08207611383958524,0.7720904522643185
efficientformerv2_s0.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.4.mlp.fc1.bn.drop,0.7398336016091508,0.4842705868463494,0.149674053331827,0.46403844441953773,0.10610758796003616,0.7720904522643185
efficientformerv2_s1.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.7.mlp.mid.bn.drop,0.7398336016091508,0.4993094899261886,0.1381643842143081,0.47844904332952065,0.09794810272467268,0.7720904522643185
efficientformerv2_s2.snap_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.10.mlp.fc1.bn.drop,0.7398336016091508,0.4675981514238569,0.1496337245230901,0.4480625598453352,0.10607899788363269,0.7720904522643185
efficientnet_b0.ra_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.5.0.bn1.drop,0.7398336016091508,0.4354594282335348,0.1013566374990145,0.4172665472029258,0.0718541930906155,0.7720904522643185
efficientnet_es_pruned.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.0.bn2.drop,0.7398336016091508,0.4788328388169303,0.1478385432942131,0.45882787783702167,0.10480635011398237,0.7720904522643185
efficientnet_es.ra_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.0.bn2.drop,0.7398336016091508,0.4565479024546322,0.1564636533974473,0.43747397470015775,0.11092090109039607,0.7720904522643185
efficientnet_lite0.ra_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.4.2.bn1.drop,0.7398336016091508,0.4636536186675056,0.0993199887588521,0.44428282410681114,0.07041036311120434,0.7720904522643185
focalnet_base_srf.ms_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,layers.2.blocks.4.modulation.focal_layers.1,0.7398336016091508,0.4817056994981132,0.1243899387941658,0.4615807144489077,0.08818306231530952,0.7720904522643185
focalnet_small_srf.ms_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,layers.2.blocks.1.modulation.focal_layers.1,0.7398336016091508,0.480537339138814,0.1391396285175633,0.46046116653834535,0.09863947720399381,0.7720904522643185
focalnet_tiny_srf.ms_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,layers.2.blocks.5.modulation.focal_layers.1,0.7398336016091508,0.4919632305018582,0.160232036647194,0.47140970026768353,0.11359239991226033,0.7720904522643185
