model_name,SanghaviJozwik2020.V4-pls,Sanghavi2020.V4-pls,SanghaviMurty2020.V4-pls,MajajHong2015.V4-pls,ImageNet-top1,new_brain_score,new_brain_score_average
mobilenet_v2_1_0_160,0.467,0.608,0.237,0.558,X,0.558,0.4675
ReAlnet07_cornet,0.503,0.661,0.25,0.602,0.644,0.602,0.504
mobilenet_v2_1_0_224,0.488,0.618,0.213,0.582,X,0.582,0.47525
ReAlnet05_cornet,0.503,0.656,0.254,0.598,0.646,0.598,0.50275
resnet34_ecoset_full,0.472,0.653,0.218,0.6,X,0.6,0.48575
ReAlnet09_cornet,0.503,0.655,0.245,0.598,0.644,0.598,0.50025
ReAlnet01_cornet,0.502,0.651,0.248,0.598,0.645,0.598,0.49975
efficientnet-b7,0.455,0.609,0.162,0.536,0.726,0.536,0.4405
ReAlnet02_cornet,0.504,0.66,0.25,0.6,0.642,0.6,0.5035
yudixie_resnet50_imagenet1kpret_0_240908,0.51,0.656,0.2,0.602,X,0.602,0.492
ReAlnet04_cornet,0.503,0.655,0.247,0.597,0.648,0.597,0.5005
resnet50-barlow,0.487,0.622,0.213,0.575,0.001,0.575,0.47425
ReAlnet03_cornet,0.502,0.656,0.25,0.599,0.644,0.599,0.50175
deit_small_imagenet_100_seed-0,0.427,0.533,0.172,0.487,0.293,0.487,0.40475
ReAlnet06_cornet,0.503,0.652,0.246,0.601,0.648,0.601,0.5005
BiT-S-R152x2,0.414,0.631,0.199,0.574,0.728,0.574,0.4545
resnet50-vicreg,0.49,0.629,0.215,0.582,X,0.582,0.479
resnet-18_test_m,0.455,0.625,0.173,0.56,X,0.56,0.45325
BiT-S-R50x3,0.456,0.634,0.202,0.569,0.723,0.569,0.46525
resnet50-vicregl0p75,0.481,0.623,0.209,0.579,0.001,0.579,0.473
mobilenet_v2_1-4_224_pytorch,0.384,0.512,0.168,0.431,0.538,0.431,0.37375
omnivore_swinS,0.492,0.635,0.245,0.582,X,0.582,0.4885
vonegrcnn_47e,X,X,0.219,X,X,X,0.219
alexnet_training_seed_01,0.275,0.39,0.108,0.445,0.001,0.445,0.3045
densenet-169,0.488,0.629,0.202,0.568,0.718,0.568,0.47175
BiT-S-R101x3,0.443,0.643,0.203,0.581,0.73,0.581,0.4675
yudixie_resnet18_imagenet1kpret_0_240719,0.474,0.64,0.176,0.573,X,0.573,0.46575
resnet18_imagenet21kP,0.481,0.64,0.204,0.597,X,0.597,0.4805
alexnet_training_seed_10,0.274,0.385,0.103,0.427,X,0.427,0.29725
alexnet_training_seed_07,0.273,0.387,0.098,0.433,X,0.433,0.29775
mobilenet_v2_1_0_192,0.487,0.619,0.253,0.571,0.648,0.571,0.4825
resnet_101_v2,X,X,X,X,0.776,X,#DIV/0!
tv_efficientnet-b1,0.49,0.623,0.24,0.574,,0.574,0.48175
resnet_101_v1,X,X,0.253,X,0.736,X,0.253
mobilenet_v2_0_75_192,0.471,0.617,0.236,0.57,0.628,0.57,0.4735
alexnet_training_seed_06,0.281,0.4,0.101,0.456,X,0.456,0.3095
mobilenet_v2_1_3_224,0.493,0.629,0.252,0.596,X,0.596,0.4925
regnet_y_400mf,0.482,0.628,0.18,0.586,0.687,0.586,0.469
alexnet_training_seed_04,0.268,0.378,0.092,0.43,0.001,0.43,0.292
