model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,86.724,0.9526,93.59,cnn,none,288,4405.479473,-0.062894856,0.105978871
skresnet18.ra_in1k,73.038,0.8181,11.96,hybrid,none,224,1765.25184,0.361752325,0.098372788
skresnet34.ra_in1k,76.91,0.8618,22.28,hybrid,none,224,1875.634917,0.334788562,0.101158793
spnasnet_100.rmsp_in1k,74.086,0.8287,4.42,cnn,none,224,3482.461791,0.276665009,0.089713812
swin_base_patch4_window7_224.ms_in1k,83.606,0.9243,87.77,selfsup,none,224,2885.353491,-0.019047053,0.150248676
swin_base_patch4_window7_224.ms_in22k_ft_in1k,85.272,0.9399,87.77,selfsup,none,224,2915.85272,-0.019814947,0.131886063
swin_s3_base_224.ms_in1k,83.92,0.9286,71.13,selfsup,none,224,2974.085898,-0.142564036,0.148224593
swin_s3_small_224.ms_in1k,83.756,0.9266,49.74,selfsup,none,224,2844.702511,-0.119873846,0.141889345
swin_s3_tiny_224.ms_in1k,82.144,0.9111,28.33,selfsup,none,224,2600.024933,-0.008830643,0.138541827
swin_small_patch4_window7_224.ms_in1k,83.208,0.9209,49.61,selfsup,none,224,2833.622725,-0.031515409,0.141187952
swin_small_patch4_window7_224.ms_in22k_ft_in1k,83.298,0.9225,49.61,selfsup,none,224,2979.196445,0.019525542,0.132666292
swin_tiny_patch4_window7_224.ms_in1k,81.376,0.9036,28.29,selfsup,none,224,2674.411361,0.077383008,0.148546383
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,80.968,0.9009,28.29,selfsup,none,224,2688.842324,0.097357157,0.136681534
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,86.268,0.951,87.92,selfsup,none,256,6156.008795,-0.133778538,0.129094084
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,87.096,0.9597,87.92,selfsup,none,384,14725.13153,-0.131371256,0.127647696
swinv2_cr_small_224.sw_in1k,83.136,0.9196,49.7,selfsup,none,224,6394.74618,-0.050150363,0.205228129
swinv2_cr_small_ns_224.sw_in1k,83.498,0.9263,49.7,selfsup,none,224,6430.065121,-0.01847953,0.206041281
swinv2_cr_tiny_ns_224.sw_in1k,81.802,0.908,28.33,selfsup,none,224,5499.210163,0.14269483,0.208827028
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,86.952,0.9557,196.74,selfsup,none,256,7667.006391,-0.153366585,0.1301782
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,87.464,0.9625,196.74,selfsup,none,384,20942.55,-0.140217453,0.175351409
tf_mobilenetv3_large_075.in1k,73.432,0.8172,3.99,cnn,none,224,1772.10929,0.313941382,0.095366599
tf_mobilenetv3_large_minimal_100.in1k,72.258,0.8108,3.92,cnn,none,224,1762.034468,0.300390762,0.092457565
tf_mobilenetv3_small_075.in1k,65.728,0.7368,2.04,cnn,none,224,1747.811978,0.209976261,0.087924838
tf_mobilenetv3_small_100.in1k,67.918,0.7585,2.54,cnn,none,224,1732.30934,0.224687826,0.085759723
tinynet_b.in1k,74.978,0.8381,3.73,cnn,none,188,1642.265102,0.357392719,0.069434335
tinynet_c.in1k,71.24,0.7983,2.46,cnn,none,184,1563.165696,0.314467194,0.066761782
tresnet_l.miil_in1k,81.48,0.9069,55.99,cnn,none,224,3176.597259,0.257793898,0.098945496
tresnet_m.miil_in1k,80.798,0.8975,31.39,cnn,none,224,2986.343746,0.295183764,0.09998697
tresnet_m.miil_in21k_ft_in1k,83.074,0.9206,31.39,cnn,big_data,224,2945.127189,0.287070253,0.102403706
tresnet_v2_l.miil_in21k_ft_in1k,83.9,0.9272,46.17,cnn,big_data,224,3213.508215,0.252897991,0.100811197
tresnet_xl.miil_in1k,82.074,0.9128,78.44,cnn,none,224,3354.515995,0.245809056,0.10100164
twins_pcpvt_base.in1k,82.71,0.9165,43.83,vit,none,224,2057.00473,-0.018103901,0.107393939
twins_pcpvt_large.in1k,83.13,0.9207,60.99,vit,none,224,2185.431774,0.047723445,0.108501933
twins_pcpvt_small.in1k,81.096,0.9024,24.11,vit,none,224,1898.230052,0.049189335,0.105592721
twins_svt_base.in1k,83.122,0.9215,56.07,vit,none,224,1988.003612,-0.015562359,0.105379781
twins_svt_small.in1k,81.678,0.9042,24.06,vit,none,224,1898.99442,-0.037815745,0.10782077
vgg11_bn.tv_in1k,70.382,0.7901,132.87,cnn,none,224,1815.006744,0.362451818,0.096091229
vgg11.tv_in1k,69.022,0.7734,132.86,cnn,none,224,1794.611361,0.329765772,0.098676817
vgg13_bn.tv_in1k,71.588,0.8015,133.05,cnn,none,224,1867.603864,0.328437508,0.091565995
vgg13.tv_in1k,69.932,0.7878,133.05,cnn,none,224,1863.681265,0.299593261,0.095857978
vgg16_bn.tv_in1k,73.37,0.8235,138.37,cnn,none,224,1900.184039,0.346333781,0.094984716
vgg16.tv_in1k,71.592,0.8031,138.36,cnn,none,224,1880.81682,0.328895299,0.097669886
vgg19_bn.tv_in1k,74.216,0.8315,143.68,cnn,none,224,1935.737169,0.339243046,0.0943495
vgg19.tv_in1k,72.378,0.8121,143.67,cnn,none,224,1911.865041,0.341982887,0.100997576
visformer_small.in1k,82.102,0.9116,40.22,hybrid,none,224,1898.93931,0.116386563,0.10224983
visformer_tiny.in1k,78.162,0.8698,10.32,hybrid,none,224,1823.28367,0.188218372,0.10533015
vit_base_patch14_dinov2.lvd142m,84.5,0.935,86,selfsup,dino,224,5906.844587,0.142548153,0.206084553
vit_base_patch16_224_miil.in21k_ft_in1k,84.266,0.9319,86.54,vit,big_data,224,2577.07102,0.102192204,0.13964856
vit_base_patch16_224.augreg_in1k,79.154,0.8799,86.57,vit,none,224,2527.840846,0.100779127,0.141532913
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,0.9333,86.57,vit,big_data,224,2535.740013,0.088678287,0.133192702
vit_base_patch16_224.augreg2_in21k_ft_in1k,85.096,0.9408,86.57,vit,big_data,224,2570.814474,0.00093323,0.132042656
vit_base_patch16_224.dino,78.2,0.0013,85,selfsup,dino,224,1795.833179,0.280555119,0.074038804
vit_base_patch16_224.orig_in21k_ft_in1k,81.786,0.907,86.57,vit,big_data,224,2592.085862,0.128860693,0.144284798
vit_base_patch16_224.sam_in1k,80.244,0.8914,86.57,vit,none,224,2574.235304,0.277118908,0.147223749
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,86.174,0.9488,86.57,selfsup,clip,224,1594.345166,0.109048461,0.066954682
vit_base_patch16_clip_224.laion2b_ft_in1k,85.466,0.9419,86.57,selfsup,clip,224,1787.858191,0.167991101,0.070568723
vit_base_patch16_clip_224.openai_ft_in12k_in1k,85.94,0.9467,86.57,selfsup,clip,224,1685.659745,0.121437265,0.063095198
vit_base_patch16_clip_224.openai_ft_in1k,85.292,0.9392,86.57,selfsup,clip,224,1691.606925,0.162832137,0.068878973
vit_base_patch16_rpn_224.sw_in1k,82.206,0.9114,86.54,vit,none,224,2499.489209,-0.044399464,0.133191734
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,83.296,0.9194,88.22,selfsup,clip,224,1478.289744,0.06392167,0.062610708
vit_base_patch32_clip_224.laion2b_ft_in1k,82.582,0.9138,88.22,selfsup,clip,224,1360.407391,0.078573581,0.064028527
vit_base_patch32_clip_224.openai_ft_in1k,81.93,0.9084,88.22,selfsup,clip,224,1352.423781,0.136516999,0.06336287
vit_base_patch8_224.augreg_in21k_ft_in1k,85.798,0.9479,86.58,vit,big_data,224,4127.110673,0.059725543,0.121752374
vit_base_patch8_224.augreg2_in21k_ft_in1k,86.218,0.9482,86.58,vit,big_data,224,4184.771523,-0.054379382,0.119746486
vit_base_patch8_224.dino,80.1,0.0013,85,selfsup,dino,224,3438.806381,0.324619075,0.070674437
vit_giant_patch14_dinov2.lvd142m,86.5,0.9539,1100,selfsup,dino,224,19564.05364,0.149267524,0.216454032
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,87.892,0.9597,304.2,selfsup,clip,224,3114.961067,-0.156516897,0.065066826
vit_large_patch14_clip_224.laion2b_ft_in1k,87.282,0.9534,304.2,selfsup,clip,224,2993.167159,-0.083837945,0.067748462
vit_large_patch14_clip_224.openai_ft_in12k_in1k,88.176,0.965,304.2,selfsup,clip,224,3123.812351,-0.087461304,0.060131958
vit_large_patch14_clip_224.openai_ft_in1k,87.852,0.962,304.2,selfsup,clip,224,3109.312258,-0.066600456,0.065816997
vit_large_patch14_dinov2.lvd142m,86.3,0.9521,300,selfsup,dino,224,8227.536733,0.140805184,0.212768533
vit_large_patch16_224.augreg_in21k_ft_in1k,85.834,0.9448,304.33,vit,big_data,224,3768.54874,-0.0694427,0.132452067
vit_large_patch16_384.augreg_in21k_ft_in1k,87.084,0.9556,304.72,vit,big_data,384,9262.200891,-0.071745022,0.122125115
vit_large_r50_s32_384.augreg_in21k_ft_in1k,86.182,0.95,329.09,vit,big_data,384,5999.060696,-0.013617669,0.144205234
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,85.532,0.9421,39.03,vit,none,384,5229.758192,-0.047401277,0.115376665
vit_relpos_base_patch16_224.sw_in1k,82.496,0.9147,86.43,vit,none,224,3462.85718,-0.075630713,0.101139929
vit_relpos_base_patch16_clsgap_224.sw_in1k,82.76,0.9178,86.43,vit,none,224,3555.62806,-0.067326826,0.098973981
vit_relpos_medium_patch16_224.sw_in1k,82.462,0.9138,38.75,vit,none,224,3048.082763,-0.113296029,0.100361837
vit_relpos_medium_patch16_cls_224.sw_in1k,82.572,0.9151,38.76,vit,none,224,3040.103262,-0.023858819,0.102492219
vit_relpos_medium_patch16_rpn_224.sw_in1k,82.31,0.9135,38.73,vit,none,224,3018.177684,-0.093738145,0.096435701
vit_relpos_small_patch16_224.sw_in1k,81.462,0.9051,21.98,vit,none,224,2881.03249,-0.091736409,0.101091483
vit_small_patch14_dinov2.lvd142m,81.1,0.9062,21,selfsup,dino,224,5476.038549,0.178405727,0.209912104
vit_small_patch16_224.augreg_in1k,78.846,0.8775,22.05,vit,none,224,2471.15798,0.082869026,0.143005599
vit_small_patch16_224.augreg_in21k_ft_in1k,81.384,0.903,22.05,vit,big_data,224,2429.02304,0.125829712,0.13991609
vit_small_patch16_224.dino,77,0.0015,21,selfsup,dino,224,1472.254668,0.324050224,0.075726633
vit_small_patch8_224.dino,79.7,0.0015,21,selfsup,dino,224,2162.433358,0.391599362,0.075881314
vit_srelpos_medium_patch16_224.sw_in1k,82.24,0.911,38.74,vit,none,224,2508.645336,-0.067275754,0.134512797
vit_srelpos_small_patch16_224.sw_in1k,81.092,0.9007,21.97,vit,none,224,2543.252239,-0.066286915,0.136773564
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.454,0.8415,5.72,vit,big_data,224,2512.982087,0.163381474,0.141296388
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,71.798,0.803,6.34,vit,big_data,224,2507.4733,0.272734902,0.142557506
volo_d1_224.sail_in1k,84.162,0.9321,26.63,hybrid,none,224,1955.054847,0.273438463,0.105805663
volo_d1_384.sail_in1k,85.244,0.9428,26.78,hybrid,none,384,4892.081871,0.236073054,0.100040158
volo_d2_224.sail_in1k,85.202,0.9424,58.68,hybrid,none,224,2180.315748,0.241506454,0.10410166
volo_d2_384.sail_in1k,86.042,0.9479,58.87,hybrid,none,384,5461.505139,0.227434328,0.097383396
volo_d3_224.sail_in1k,85.414,0.943,86.33,hybrid,none,224,2342.690886,0.238419005,0.103694772
